Unnamed: 0,ID,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Description,Number,Street,City,County,State,Temperature(F),Visibility(mi),Weather_Condition,Traffic_Signal
3561945,A-3568751,,2,2020-03-06 22:34:00,2020-03-07 00:07:20,47.22612,-92.4876,At CR-16/Wilson Rd - Vehicle spun around.,1394.0, Highway 53,Cotton,St. Louis,MN,23.0,10.0,Fair,False
3563052,A-3569859,,2,2020-03-07 01:38:00,2020-03-07 04:52:13,44.95346,-93.08332,At Lafayette Rd N - Accident.,413.0, 7th St E,Saint Paul,Ramsey,MN,28.0,10.0,Fair,True
3563053,A-3569860,,2,2020-03-07 01:47:00,2020-03-07 05:01:14,47.62776,-95.86983,At CR-6/Granum Ave S - Accident.,,US Highway 2 SE,McIntosh,Polk,MN,30.0,10.0,Fair,False
3563055,A-3569862,,2,2020-03-07 02:59:00,2020-03-07 06:12:14,44.9649,-93.28739,At Hennepin/Lyndale Ave/Exit 231 - Accident.,,I-94 E,Minneapolis,Hennepin,MN,33.0,10.0,Fair,False
3563058,A-3569865,,2,2020-03-07 03:55:00,2020-03-07 07:08:14,44.62357,-93.29804,At CR-70/Exit 81 - Accident.,,225th St E,Lakeville,Scott,MN,36.0,10.0,Fair,False
3563063,A-3569870,,2,2020-03-07 05:21:00,2020-03-07 09:34:10,46.11818,-93.43308,At MN-27/395th St - Vehicle spun around.,1030.0, 395th St,Isle,Mille Lacs,MN,32.0,10.0,Fair,False
3563065,A-3569872,,2,2020-03-07 08:31:00,2020-03-07 11:44:13,45.30058,-93.79773,At US-10/Jefferson Blvd/Lake St - Accident.,900.0, Highway 25 S,Monticello,Wright,MN,39.0,10.0,Fair,False
3563066,A-3569873,,2,2020-03-07 08:44:00,2020-03-07 11:58:13,45.24961,-93.68646,At CR-19/Exit 201 - Accident.,,I-94 E,Monticello,Wright,MN,39.0,10.0,Fair,False
3563067,A-3569874,,2,2020-03-07 11:04:00,2020-03-07 14:17:13,45.237,-94.54741,At US-12 - Accident.,33901.0, Minnesota Highway 22,Litchfield,Meeker,MN,43.0,10.0,Fair,False
3563068,A-3569875,,2,2020-03-07 11:19:00,2020-03-07 12:12:22,45.04393,-93.28476,At I-94 - Accident.,,I-94 E,Minneapolis,Hennepin,MN,46.0,10.0,Fair,False
3563069,A-3569876,,2,2020-03-07 11:33:00,2020-03-07 12:29:22,44.97288,-93.40538,Ramp to US-169 and General Mills Blvd - Accident.,9965.0, Wayzata Blvd,Hopkins,Hennepin,MN,47.0,10.0,Fair,False
3563070,A-3569877,,2,2020-03-07 12:36:00,2020-03-07 13:29:22,44.9739,-93.24968,At I-94/11th Ave/Exit 17B - Accident.,,I-35W S,Minneapolis,Hennepin,MN,51.0,10.0,Fair,False
3563071,A-3569878,,2,2020-03-07 13:02:00,2020-03-07 13:35:24,45.07641,-93.33386,Ramp to I-94/I-694 Westbound - Accident.,,Brooklyn Blvd,Minneapolis,Hennepin,MN,51.0,10.0,Fair,False
3563073,A-3569880,,2,2020-03-07 13:53:00,2020-03-07 14:46:22,44.89079,-93.12034,At MN-110/Mendota Rd W - Accident.,713.0, Marie Ave W,Saint Paul,Dakota,MN,49.0,10.0,Fair,False
3563074,A-3569881,,2,2020-03-07 14:02:00,2020-03-07 15:15:22,45.06938,-93.27892,At MN-252/Exit 35 - Accident.,,I-694 W,Minneapolis,Anoka,MN,52.0,10.0,Partly Cloudy,False
3563075,A-3569882,,2,2020-03-07 14:09:00,2020-03-07 15:22:21,44.77898,-93.33641,At CR-16/McColl Dr - Accident.,,Lynn Ave,Savage,Scott,MN,49.0,10.0,Fair,True
3563076,A-3569883,,2,2020-03-07 14:08:30,2020-03-07 14:42:23,45.04393,-93.28476,At I-94 - Accident.,,I-94 E,Minneapolis,Hennepin,MN,51.0,10.0,Fair,False
3563077,A-3569884,,2,2020-03-07 14:09:00,2020-03-07 15:42:19,44.91966,-93.27449,At 46th St/Exit 13 - Accident.,,E 46th St,Minneapolis,Hennepin,MN,52.0,10.0,Fair,True
3563078,A-3569885,,2,2020-03-07 14:06:00,2020-03-07 14:39:23,44.96574,-93.26784,At 5th Ave - Accident.,,I-35W S,Minneapolis,Hennepin,MN,52.0,10.0,Fair,False
3563079,A-3569886,,2,2020-03-07 14:09:00,2020-03-07 15:22:21,45.04393,-93.28476,At I-94 - Accident.,,I-94 E,Minneapolis,Hennepin,MN,51.0,10.0,Fair,False
3563080,A-3569887,,2,2020-03-07 14:35:00,2020-03-07 17:48:14,46.6093,-93.61251,At US-169 - Accident.,36198.0, 410th St,Aitkin,Aitkin,MN,43.0,10.0,Fair,False
3563081,A-3569888,,2,2020-03-07 14:53:00,2020-03-07 16:01:22,44.9269,-93.27454,At 35th St/36th St/Exit 14 - Accident.,,I-35W N,Minneapolis,Hennepin,MN,53.0,10.0,Fair,False
3563082,A-3569889,,2,2020-03-07 15:31:00,2020-03-07 17:52:17,45.01311,-93.28273,At 2nd St N - Accident.,,US-52 E,Minneapolis,Hennepin,MN,53.0,10.0,Fair,False
3563083,A-3569890,,2,2020-03-07 16:19:00,2020-03-07 19:32:14,46.86711,-95.58764,At CR-29 - Accident.,39009.0, State Highway 34,Detroit Lakes,Becker,MN,43.0,10.0,Fair,False
3563084,A-3569891,,2,2020-03-07 16:30:00,2020-03-07 17:03:23,44.94858,-92.96824,At I-494/I-694/Exit 249 - Accident.,,I-94 E,Saint Paul,Washington,MN,48.0,10.0,Fair,False
3563085,A-3569892,,2,2020-03-07 16:47:00,2020-03-07 18:03:21,45.00776,-93.20458,At CR-25/County Road B (Retired) - Accident.,,I-35W S,Saint Paul,Ramsey,MN,48.0,10.0,Fair,False
3563086,A-3569893,,2,2020-03-07 16:56:00,2020-03-07 20:09:14,44.47686,-93.92225,At US-169 - Accident.,,State Highway 93,Le Sueur,Sibley,MN,53.0,10.0,Fair,False
3563087,A-3569894,,2,2020-03-07 17:30:00,2020-03-07 18:23:22,44.83684,-93.39858,At CR-1/Pioneer Trl - Accident.,,Anderson Lakes Pkwy,Minneapolis,Hennepin,MN,48.0,10.0,Fair,False
3563088,A-3569895,,2,2020-03-07 17:40:00,2020-03-07 20:53:13,45.83185,-95.20732,At MN-29/Exit 103 - Accident.,,I-94 W,Osakis,Douglas,MN,41.0,10.0,Fair,False
3563089,A-3569896,,2,2020-03-07 18:11:00,2020-03-07 18:44:23,46.99034,-93.57446,At US-169 - Vehicle spun around.,34179.0, State Highway 200,Hill City,Aitkin,MN,42.0,10.0,Fair,False
3563090,A-3569897,,2,2020-03-07 18:28:00,2020-03-07 21:41:14,46.0113,-92.84832,At Cloverdale Rd - Accident.,28892.0, State Highway 48,Hinckley,Pine,MN,45.0,10.0,Fair,False
3563091,A-3569898,,2,2020-03-07 18:51:00,2020-03-07 19:24:23,45.51144,-92.98012,At I-35/US-61 - Accident.,38831.0, Forest Blvd,North Branch,Chisago,MN,44.0,10.0,Fair,True
3563092,A-3569899,,2,2020-03-07 19:10:00,2020-03-07 22:23:14,46.33712,-94.37704,At CR-1/Inter County B/River St N - Vehicle spun around.,1893.0, State Highway 210 SW,Pillager,Cass,MN,44.0,7.0,Fair,False
3563093,A-3569900,,2,2020-03-07 19:34:00,2020-03-07 22:47:13,43.7829,-91.59342,At MN-16/E Cedar St - Accident.,4366.0, State Highway 76,Houston,Houston,MN,49.0,10.0,Fair,False
3563094,A-3569901,,2,2020-03-07 19:51:00,2020-03-07 23:04:13,46.88267000000001,-92.46943,At CR-7/Industrial Rd - Accident.,5150.0, Highway 33,Saginaw,St. Louis,MN,39.0,10.0,Fair,False
3563095,A-3569902,,2,2020-03-07 20:19:00,2020-03-07 23:32:13,47.17904,-94.7148,At CR-38 - Accident.,31510.0, State Highway 200,Laporte,Hubbard,MN,36.0,10.0,Fair,False
3563096,A-3569903,,2,2020-03-07 20:16:00,2020-03-07 23:30:14,46.22505,-92.82837,At CR-43/Exit 205 - Accident.,,I-35 N,Askov,Pine,MN,43.0,10.0,Fair,False
3563097,A-3569904,,2,2020-03-07 21:56:00,2020-03-08 00:09:18,43.76951,-93.31115,At CR-35/Exit 22 - Accident.,,I-35 N,Clarks Grove,Freeborn,MN,,10.0,Fair,False
3563098,A-3569905,,2,2020-03-07 22:15:00,2020-03-08 00:17:23,44.06061,-95.7534,At CR-95 - Accident.,1452.0, Highway 59,Slayton,Murray,MN,49.0,10.0,Fair / Windy,False
3563099,A-3569906,,2,2020-03-07 22:15:00,2020-03-08 00:08:18,44.79909,-93.28955,At 106th St/Exit 5 - Accident.,,I-35W N,Burnsville,Dakota,MN,49.0,10.0,Fair,False
3563100,A-3569907,,2,2020-03-07 23:17:00,2020-03-08 00:10:22,43.62378,-92.01976,At MN-139/CR-44/Main Ave N - Accident.,18560.0, US 52,Preston,Fillmore,MN,41.0,10.0,Fair,False
3563101,A-3569908,,2,2020-03-07 23:44:00,2020-03-08 00:17:24,45.06938,-93.27892,At MN-252/Exit 35 - Accident.,,I-694 W,Minneapolis,Anoka,MN,48.0,10.0,Fair,False
3563102,A-3569909,,2,2020-03-07 23:45:00,2020-03-08 00:18:23,43.69484,-92.39505,At MN-16/CR-1/N Section Ave - Accident.,616.0, N Broadway St,Spring Valley,Fillmore,MN,41.0,10.0,Fair,False
3564141,A-3570948,,2,2020-03-07 23:58:00,2020-03-08 03:31:16,44.86211,-93.24743,At MN-77/Exit 2 - Accident.,,MN-77 S,Minneapolis,Hennepin,MN,50.0,10.0,Fair,False
3564142,A-3570949,,2,2020-03-08 01:08:00,2020-03-08 04:21:17,45.13378,-93.23508,At MN-65/Central Ave - Accident.,,US-10 E,Minneapolis,Anoka,MN,50.0,10.0,Fair,False
3564143,A-3570950,,2,2020-03-08 01:18:00,2020-03-08 04:31:17,44.74622,-93.37956,At CR-27/Dakota Ave - Accident.,,Egan Dr,Savage,Scott,MN,49.0,10.0,Fair,True
3564144,A-3570951,,2,2020-03-08 03:34:00,2020-03-08 05:47:17,46.32021,-95.08605,At CR-24/W Main St - Accident.,100.0, N Highway 71,Hewitt,Todd,MN,36.0,10.0,Fair,False
3564147,A-3570954,,2,2020-03-08 04:52:00,2020-03-08 08:05:14,43.89202,-92.66756,At CR-3 Sw - Accident.,11462.0, Highway 30 SW,Hayfield,Olmsted,MN,39.0,10.0,Fair / Windy,False
3564148,A-3570955,,2,2020-03-08 05:15:00,2020-03-08 08:48:12,45.65803,-93.93936,At MN-25 - Accident.,10914.0, Highway 23 NE,Foley,Benton,MN,40.0,10.0,Fair,False
3564149,A-3570956,,2,2020-03-08 05:30:00,2020-03-08 08:43:13,46.32584,-95.32161,At US-71 - Accident.,56001.0, State Highway 210,Henning,Otter Tail,MN,36.0,10.0,Fair,False
3564150,A-3570957,,2,2020-03-08 05:37:00,2020-03-08 08:50:14,44.97,-93.30883,At CR-2/Penn Ave/Exit 7 - Accident.,,Penn Ave S,Minneapolis,Hennepin,MN,47.0,10.0,Fair,False
3564151,A-3570958,,2,2020-03-08 07:18:00,2020-03-08 10:31:14,44.86553,-93.05976,At I-494 - Accident.,,US-52 N,Inver Grove Heights,Dakota,MN,45.0,10.0,Fair,False
3564152,A-3570959,,2,2020-03-08 07:26:00,2020-03-08 10:19:15,44.85936,-93.39432,At I-494/MN-5 - Accident.,,I-494 E,Minneapolis,Hennepin,MN,45.0,10.0,Fair,False
3564153,A-3570960,,2,2020-03-08 08:02:00,2020-03-08 11:16:14,47.36937,-95.38227,At MN-200 - Accident.,18996.0, 250th St,Bagley,Clearwater,MN,34.0,10.0,Fair,False
3564154,A-3570961,,2,2020-03-08 11:06:00,2020-03-08 12:19:21,44.97027,-93.32196,At MN-100/Exit 5 - Accident.,,US-12 E,Minneapolis,Hennepin,MN,52.0,10.0,Fair,False
3564155,A-3570962,,2,2020-03-08 11:27:00,2020-03-08 14:40:13,46.6634,-92.47707,At MN-210/Exit 235 - Accident.,,Highway 210,Carlton,Carlton,MN,48.0,10.0,Fair,False
3564156,A-3570963,,2,2020-03-08 12:26:00,2020-03-08 13:39:21,44.89075,-93.39929,At US-212/MN-62 - Accident.,,US-212 W,Minneapolis,Hennepin,MN,53.0,10.0,Fair / Windy,False
3564157,A-3570964,,2,2020-03-08 12:33:00,2020-03-08 13:47:21,44.94746,-92.90342,Ramp to Woodbury Dr - Accident.,3.0, Woodbury Dr,Saint Paul,Washington,MN,56.0,10.0,Fair,True
3564158,A-3570965,,2,2020-03-08 12:38:00,2020-03-08 13:51:21,44.70293,-93.13655,At CR-66/Vermillion River Trl - Accident.,,Chippendale Ave W,Farmington,Dakota,MN,52.0,10.0,Fair,False
3564159,A-3570966,,2,2020-03-08 12:59:00,2020-03-08 14:13:21,44.86181,-93.30877,At CR-32/Penn Ave/Exit 6 - Accident.,,I-494 E,Minneapolis,Hennepin,MN,55.0,10.0,Fair,True
3564160,A-3570967,,2,2020-03-08 13:34:00,2020-03-08 14:29:22,45.57277,-93.21393,At Main St - Accident.,866.0, 1st Ave E,Cambridge,Isanti,MN,54.0,10.0,Fair,False
3564161,A-3570968,,2,2020-03-08 14:08:00,2020-03-08 15:42:19,44.96612,-93.26988,At I-35W/11th St/Exit 233 - Accident.,,MN-65,Minneapolis,Hennepin,MN,57.0,10.0,Fair,False
3564162,A-3570969,,2,2020-03-08 14:20:00,2020-03-08 15:13:22,44.8896,-93.35018,At MN-100 - Accident.,,MN-62 E,Minneapolis,Hennepin,MN,56.0,10.0,Fair,False
3564163,A-3570970,,2,2020-03-08 14:58:00,2020-03-08 16:11:21,45.10478,-93.45873,At I-94 - Accident.,,Weaver Lake Rd,Osseo,Hennepin,MN,58.0,10.0,Fair,True
3564164,A-3570971,,2,2020-03-08 15:32:00,2020-03-08 16:25:23,45.32775,-93.40199,At CR-66/Cleary Rd - Vehicle spun around.,5402.0, Viking Blvd NW,Anoka,Anoka,MN,61.0,10.0,Partly Cloudy,False
3564165,A-3570972,,2,2020-03-08 16:05:00,2020-03-08 19:18:14,43.81218,-92.13884,At CR-33/Main St - Accident.,31600.0, US 52,Chatfield,Fillmore,MN,58.0,10.0,Fair,False
3564166,A-3570973,,2,2020-03-08 16:24:00,2020-03-08 17:17:22,45.17998,-93.11311,At I-35w - Accident.,,I-35W N,Circle Pines,Anoka,MN,61.0,10.0,Partly Cloudy,False
3564168,A-3570975,,2,2020-03-08 18:07:00,2020-03-08 21:21:18,44.9517,-93.05737,At US-10/US-61/Exit 244 - Accident.,,I-94 W,Saint Paul,Ramsey,MN,56.0,10.0,Fair,False
3564169,A-3570976,,3,2020-03-08 18:20:56,2020-03-08 18:50:14,44.95392,-93.07933,Between US-52/Exit 242 and US-61/Mounds Blvd/Exit 243 - Accident.,,I-94 E,Saint Paul,Ramsey,MN,56.0,10.0,Fair,False
3564170,A-3570977,,2,2020-03-08 18:20:00,2020-03-08 19:13:22,44.95205,-93.04932,At US-10/US-61/Exit 244 - Vehicle spun around.,,I-94 E,Saint Paul,Ramsey,MN,56.0,10.0,Fair,False
3564171,A-3570978,,3,2020-03-08 19:21:41,2020-03-08 19:50:11,44.95392,-93.07933,Between Mounds Blvd/Exit 243 and US-61 - Accident.,,I-94 E,Saint Paul,Ramsey,MN,52.0,10.0,Fair,False
3564172,A-3570979,,2,2020-03-08 19:31:00,2020-03-08 20:24:22,45.02989,-92.96204,At I-694 - Accident.,,State Highway 36,Saint Paul,Washington,MN,46.0,10.0,Fair,False
3564173,A-3570980,,2,2020-03-08 20:30:00,2020-03-08 23:43:14,46.36446,-95.47006,At CR-16 - Vehicle spun around.,27665.0, State Highway 108,Henning,Otter Tail,MN,32.0,10.0,Partly Cloudy,False
3564174,A-3570981,,2,2020-03-08 21:10:00,2020-03-09 00:23:14,44.76789,-93.79051,At US-212 (West) - Accident.,10508.0, Highway 212,Cologne,Carver,MN,48.0,10.0,Fair,False
3564175,A-3570982,,2,2020-03-08 21:15:00,2020-03-09 00:28:14,45.19256,-93.0728,At CR-21/Centerville Rd - Vehicle spun around.,,I-35W N,Circle Pines,Anoka,MN,52.0,10.0,Fair,False
3564176,A-3570983,,2,2020-03-08 21:54:00,2020-03-09 01:07:14,43.65398,-93.74216,At MN-22/Exit 138 - Accident.,,I-90 E,Wells,Faribault,MN,,10.0,Fair,False
3564178,A-3570985,,2,2020-03-08 23:32:00,2020-03-09 01:05:20,44.81535,-92.93426,At US-61/US-10 - Accident.,9315.0, Jamaica Ave S,Cottage Grove,Washington,MN,47.0,10.0,Fair,False
3564179,A-3570986,,2,2020-03-09 00:09:00,2020-03-09 01:22:22,47.31747,-93.29611,At CR-7/Scenic Hwy - Accident.,7899.0, US Highway 169,Bovey,Itasca,MN,36.0,10.0,Mostly Cloudy,False
3564180,A-3570987,,2,2020-03-09 00:19:00,2020-03-09 01:12:22,44.27067,-93.29634,At CR-48/Exit 55 - Accident.,,I-35 S,Faribault,Rice,MN,46.0,10.0,Fair,False
3564982,A-3571789,,2,2020-03-09 01:38:00,2020-03-09 04:32:15,45.03599000000001,-92.8466,At MN-5/CR-5 - Accident.,,MN-36,Stillwater,Washington,MN,41.0,10.0,Fair,False
3564985,A-3571792,,2,2020-03-09 05:04:00,2020-03-09 07:37:16,43.73744,-93.32012,At MN-251/Exit 18 - Accident.,,I-35 N,Clarks Grove,Freeborn,MN,30.0,2.0,Fog,False
3564986,A-3571793,,2,2020-03-09 05:12:30,2020-03-09 07:35:46,43.7374,-93.32012,At MN-251/Exit 18 - Accident.,,I-35 N,Clarks Grove,Freeborn,MN,30.0,4.0,Cloudy,False
3564987,A-3571794,,2,2020-03-09 05:29:00,2020-03-09 06:02:23,45.12774,-93.48593,At I-94 - Accident.,,Maple Grove Pkwy N,Osseo,Hennepin,MN,33.0,10.0,Cloudy,False
3564988,A-3571795,,2,2020-03-09 05:37:00,2020-03-09 06:30:22,45.11205,-93.47206,At CR-30/95th Ave/Exit 213 - Accident.,,I-94 W,Maple Grove,Hennepin,MN,33.0,10.0,Cloudy,False
3564989,A-3571796,,2,2020-03-09 05:50:00,2020-03-09 06:24:23,44.95136,-93.02522,At White Bear Ave/Exit 245 - Accident.,,I-94 W,Saint Paul,Ramsey,MN,34.0,10.0,Partly Cloudy,False
3564990,A-3571797,,2,2020-03-09 05:51:00,2020-03-09 07:04:21,44.9485,-92.9859,At MN-120/Century Ave/Exit 247 - Accident.,,Century Ave N,Saint Paul,Ramsey,MN,34.0,10.0,Partly Cloudy,False
3564991,A-3571798,,2,2020-03-09 05:52:00,2020-03-09 07:45:18,44.57237,-94.15303,At MN-19 - Accident.,26201.0, State Highway 5,Arlington,Sibley,MN,28.0,10.0,Cloudy,False
3564993,A-3571800,,2,2020-03-09 06:22:00,2020-03-09 07:35:21,47.1595,-95.92952,At MN-224/CR-142/Main St - Accident.,,US Highway 59,Waubun,Mahnomen,MN,12.0,7.0,Light Snow,False
3564994,A-3571801,,2,2020-03-09 06:24:00,2020-03-09 07:37:21,43.62437,-93.33105,At US-65/Exit 8 - Accident.,,I-35 S,Albert Lea,Freeborn,MN,30.0,4.0,Cloudy,False
3564996,A-3571803,,2,2020-03-09 07:03:00,2020-03-09 08:37:19,45.3115,-94.41384,At MN-22/State St - Accident.,491.0, State Highway 55,Watkins,Meeker,MN,28.0,10.0,Fair,False
3564997,A-3571804,,2,2020-03-09 07:06:00,2020-03-09 08:20:21,44.9523,-93.08455,Ramp to US-52/Lafayette Fwy SBD and 6th St E - Accident.,,I-94 W,Saint Paul,Ramsey,MN,34.0,10.0,Cloudy,False
3564999,A-3571806,,2,2020-03-09 08:07:00,2020-03-09 09:00:22,44.88705,-93.33366,At Valley View Rd - Accident.,,Valley View Rd,Minneapolis,Hennepin,MN,33.0,10.0,Cloudy,True
3565004,A-3571811,,2,2020-03-09 08:42:00,2020-03-09 09:35:22,45.09429,-93.29036,At Brookdale Dr - Accident.,,State Highway 252,Minneapolis,Hennepin,MN,33.0,10.0,Cloudy,False
3565005,A-3571812,,2,2020-03-09 09:16:00,2020-03-09 11:50:17,43.56199,-93.42359,At Iowa/Minnesota - Accident.,14274.0, Highway 69,Twin Lakes,Freeborn,MN,30.0,1.0,Fog,False
3565006,A-3571813,,2,2020-03-09 09:25:00,2020-03-09 11:59:17,43.50767000000001,-92.42927,At E County Rd - Accident.,,State Highway 56,Le Roy,Fillmore,MN,31.0,0.5,Fog,False
3565008,A-3571815,,2,2020-03-09 10:53:00,2020-03-09 13:26:16,43.88109,-92.48848,At MN-30/1st St - Accident.,2569.0, Highway 63 NE,Stewartville,Olmsted,MN,32.0,8.0,Cloudy,False
3565009,A-3571816,,2,2020-03-09 11:04:00,2020-03-09 11:37:23,45.1087,-93.30116,At CR-109/85th Ave - Accident.,1581.0, 85th Ave N,Minneapolis,Hennepin,MN,35.0,10.0,Cloudy,True
3565014,A-3571821,,2,2020-03-09 14:15:00,2020-03-09 15:28:21,44.94719,-93.04033,At CR-35/Burns Ave - Accident.,,US-10 W,Saint Paul,Ramsey,MN,37.0,10.0,Cloudy,True
3565018,A-3571825,,2,2020-03-09 15:09:00,2020-03-09 16:22:21,44.16668,-93.94899,At MN-22 - Accident.,,County Hwy-17,Mankato,Blue Earth,MN,34.0,10.0,Cloudy,False
3565020,A-3571827,,2,2020-03-09 15:12:00,2020-03-09 15:45:23,45.05602,-93.1314,At Victoria St/Exit 43B - Accident.,,Victoria St N,Saint Paul,Ramsey,MN,41.0,10.0,Mostly Cloudy,False
3565021,A-3571828,,2,2020-03-09 15:16:00,2020-03-09 15:49:23,44.96753,-93.20221,At I-94 - Accident.,,Territorial Rd,Saint Paul,Ramsey,MN,39.0,10.0,Cloudy,False
3565024,A-3571831,,2,2020-03-09 15:38:00,2020-03-09 16:31:22,45.03752,-93.04203,At I-694 - Accident.,,Highway 61 N,Saint Paul,Ramsey,MN,36.0,10.0,Cloudy,False
3565025,A-3571832,,2,2020-03-09 15:35:00,2020-03-09 16:10:23,44.96636,-93.2778,At Hennepin/Lyndale Ave/Exit 231 - Accident.,,MN-55 W,Minneapolis,Hennepin,MN,41.0,10.0,Mostly Cloudy,False
3565027,A-3571834,,2,2020-03-09 16:02:00,2020-03-09 16:55:23,45.31885,-92.93127,At US-61/2nd St - Accident.,7600.0, Pioneer Rd,Chisago City,Chisago,MN,39.0,10.0,Mostly Cloudy,True
3565030,A-3571837,,2,2020-03-09 16:21:00,2020-03-09 16:54:24,44.94262,-93.45788,Ramp to McGinty Rd W - Vehicle spun around.,14301.0, McGinty Rd W,Wayzata,Hennepin,MN,40.0,10.0,Cloudy,False
3565031,A-3571838,,2,2020-03-09 16:20:00,2020-03-09 16:53:24,44.87618,-93.35038,At 70th St - Accident.,,W 70th St,Minneapolis,Hennepin,MN,41.0,10.0,Mostly Cloudy,False
3565032,A-3571839,,2,2020-03-09 16:22:00,2020-03-09 19:35:14,44.92412,-93.45579,Ramp to MN-7 Westbound - Vehicle spun around.,,Highway 7,Minnetonka,Hennepin,MN,40.0,10.0,Cloudy,False
3565034,A-3571841,,2,2020-03-09 16:39:00,2020-03-09 17:12:23,45.2267,-93.61324,At MN-241/CR-36/Exit 205 - Accident.,,I-94 E,Saint Michael,Wright,MN,34.0,10.0,Fair,False
3565036,A-3571843,,2,2020-03-09 16:48:00,2020-03-09 17:41:22,44.95599,-93.19236,At Cretin Ave/Vandalia St/Exit 237 - Accident.,,Vandalia St,Saint Paul,Ramsey,MN,40.0,10.0,Fair,False
3565038,A-3571845,,2,2020-03-09 16:58:00,2020-03-09 17:51:22,44.97027,-93.32196,At MN-100/Exit 5 - Accident.,,US-12 E,Minneapolis,Hennepin,MN,38.0,10.0,Mostly Cloudy,False
3565039,A-3571846,,2,2020-03-09 17:07:00,2020-03-09 18:00:22,44.85429,-93.05952,At Upper 55th St - Vehicle spun around.,,US-52 N,Inver Grove Heights,Dakota,MN,39.0,10.0,Fair,False
3565040,A-3571847,,2,2020-03-09 17:17:00,2020-03-09 19:10:19,44.50166,-92.53659,At CR-3 - Accident.,30830.0, Highway 58 Blvd,Red Wing,Goodhue,MN,37.0,10.0,Cloudy,False
3565041,A-3571848,,2,2020-03-09 17:28:00,2020-03-09 20:41:14,44.95599,-93.19236,At Cretin Ave/Vandalia St/Exit 237 - Accident.,,Vandalia St,Saint Paul,Ramsey,MN,37.0,10.0,Fair,False
3565044,A-3571851,,2,2020-03-09 18:08:00,2020-03-09 18:41:24,45.20568,-93.40073,At Main St/Greenhaven Rd - Accident.,,US-10 E,Anoka,Anoka,MN,39.0,10.0,Cloudy,False
3565045,A-3571852,,2,2020-03-09 18:11:00,2020-03-09 18:44:23,44.1338,-91.7848,At MN-248/Bridge St - Accident.,,US Highway 61,Minnesota City,Winona,MN,36.0,10.0,Light Rain,False
