Unnamed: 0,ID,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Description,Number,Street,City,County,State,Temperature(F),Visibility(mi),Weather_Condition,Traffic_Signal,Speed Limit,Nearest Intersection
3238185,A-3242361,,2,2020-10-09 20:13:42,2020-10-09 21:28:51,44.966522,-93.27270899999999,Incident on I-94 EB near MN-55 Drive with caution.,,3rd Ave S,Minneapolis,Hennepin,MN,68.0,10.0,Fair,False,30,E 17th St
3238186,A-3242362,,2,2020-09-16 23:35:22,2020-09-17 00:55:04,44.965755,-93.279326,Incident on I-94 EB near GROVELAND AVE Drive with caution.,,I-94 E,Minneapolis,Hennepin,MN,53.0,10.0,Fair,False,60,
3238192,A-3242368,,2,2020-10-10 14:38:05,2020-10-10 17:38:16,44.172378,-92.165509,Incident on MN-42 near 8TH AVE Drive with caution.,,Highway 42,Plainview,Wabasha,MN,65.0,10.0,Fair,False,30,N Wabasha
3238193,A-3242369,,2,2020-10-26 04:28:26,2020-10-26 07:28:33,44.910523,-93.123419,Incident on MN-13 near WACHTLER AVE Drive with caution.,763.0, Sibley Memorial Hwy,Saint Paul,Dakota,MN,27.0,10.0,Cloudy,False,40,Wachtler Ave
3238215,A-3242392,,2,2020-12-23 21:54:19,2020-12-23 23:54:41,43.637547999999995,-95.524652,Accident on MN-60/Exit 45 (I-90) from MN-264/CR-1/Exit 50 (I-90) to I-90 E.,,I-90 E,Brewster,Nobles,MN,3.0,2.0,Light Snow,False,70,
3238216,A-3242393,,2,2020-10-29 02:32:38,2020-10-29 04:08:46,45.288915,-94.207137,Incident on MN-55 near FAIRHAVEN AVE Drive with caution.,100.0, Custer St,South Haven,Wright,MN,34.0,10.0,Fair,False,55,State Highway 55 NW
3238225,A-3242402,,2,2020-12-23 01:30:32,2020-12-23 03:29:18,44.772913,-93.304891,Incident on MN-13 WB near CR-5 Drive with caution.,,Highway 13 W,Burnsville,Dakota,MN,46.0,10.0,Mostly Cloudy,False,55,MN-13
3238262,A-3242439,,2,2020-11-11 06:58:43,2020-11-11 08:34:49,44.897857,-93.00937900000001,Incident on US-61 NB near I-494 Drive with caution.,,US-10 E,Saint Paul,Ramsey,MN,21.0,10.0,Fair,False,60,
3238273,A-3242450,,2,2020-10-29 13:30:00,2020-10-29 14:22:30,45.00155,-92.95858,Queuing traffic on I-694 from MN-36/52nd St/Exit 52 (I-694) to 10th St/Exit 57 (I-694) due to accident.,,I-694 S,Saint Paul,Washington,MN,34.0,10.0,Cloudy,False,60,
3238284,A-3242461,,2,2020-12-24 04:35:01,2020-12-24 06:11:07,45.010246,-93.152314,Incident on MN-36 EB near LEXINGTON AVE Drive with caution.,,Highway 36 W,Saint Paul,Ramsey,MN,2.0,9.0,Fair / Windy,False,55,
3238303,A-3242480,,2,2020-11-06 16:26:30,2020-11-06 18:43:30,45.353955,-93.920563,Stationary traffic on I-94 from MN-25/Exit 193 (I-94) to CR-8/Exit 183 (I-94) due to accident.,,I-94 W,Monticello,Wright,MN,70.0,10.0,Fair,False,70,
3238305,A-3242482,,2,2020-12-23 19:26:35,2020-12-23 21:29:44,45.345178000000004,-93.889535,Incident on I-94 EB near CR-8 Drive with caution.,,I-94 E,Monticello,Wright,MN,8.0,2.0,Light Snow / Windy,False,70,US-52 E
3238315,A-3242492,,2,2020-11-29 21:18:28,2020-11-29 23:15:29,44.196206,-93.949445,Incident on MN-22 NB near 227TH ST Drive with caution.,58301.0, 227th St,Mankato,Blue Earth,MN,24.0,10.0,Fair,True,,
3238332,A-3242509,,2,2020-11-29 05:03:38,2020-11-29 07:06:50,44.200693,-91.897413,Accident on CR-25/Schell Hill Dr (US-61) from CR-14 (US-61) to US-61 N.,,US Highway 61,Altura,Wabasha,MN,28.0,7.0,Fair,False,65,116th Ave
3238356,A-3242533,,2,2020-12-25 10:08:24,2020-12-25 13:29:27,43.960313,-93.258312,Incident on I-35 SB near 28TH ST Drive with caution.,,I-35 S,Owatonna,Steele,MN,1.0,10.0,Fair,False,70,
3238365,A-3242542,,2,2020-12-25 18:03:00,2020-12-25 21:04:30,45.116318,-93.193318,Slow traffic on US-10 W from I-35W (US-10) to Airport Rd (US-10) due to accident.,,US-10 W,Saint Paul,Ramsey,MN,14.0,10.0,Fair,False,65,
3238383,A-3242560,,2,2020-12-01 20:04:29,2020-12-01 22:22:32,45.020608,-93.18947,Incident on I-35W SB near COUNTY ROAD C Drive with caution.,,I-35W S,Saint Paul,Ramsey,MN,27.0,10.0,Fair,False,60,
3238386,A-3242563,,2,2020-12-25 18:17:34,2020-12-25 22:20:37,44.213851,-93.269012,Incident on I-35 NB near W CENTRAL AVE Drive with caution.,,I-35 N,Faribault,Rice,MN,12.0,10.0,Fair,False,70,
3238422,A-3242599,,2,2020-10-31 06:00:33,2020-10-31 07:36:38,45.177528,-95.28782,Incident on US-12 near 4TH ST Drive with caution.,1001.0, County Road 39,Kerkhoven,Swift,MN,37.0,10.0,Fair,False,,
3238592,A-3242771,,2,2020-12-23 21:14:15,2020-12-23 22:35:00,43.885456,-92.22542800000001,Incident on US-52 near CR-137 Drive with caution.,12685.0, Highway 52 SE,Chatfield,Olmsted,MN,12.0,1.0,Light Snow / Windy,False,60,County Highway 137 SE
3238597,A-3242776,,2,2020-12-28 05:21:44,2020-12-28 08:21:46,43.703313,-95.464875,Incident on MN-60 WB near ZEH AVE Drive with caution.,20633.0, State Highway 60,Brewster,Nobles,MN,6.0,10.0,Partly Cloudy,False,65,10th St
3238674,A-3242853,,2,2020-12-17 17:01:00,2020-12-18 01:58:30,44.863436,-93.59485,Slow traffic on MN-5 from Powers Blvd (MN-5) to CR-13/Rolling Acres Rd (MN-5) due to accident.,2944.0, Arboretum Blvd,Chanhassen,Carver,MN,28.0,6.0,Haze,False,55,Hazeltine Blvd
3238703,A-3242882,,2,2020-12-24 18:14:09,2020-12-24 20:32:11,45.128122999999995,-93.188725,Incident on I-35W SB near I-35 Drive with caution.,,I-35W S,Minneapolis,Anoka,MN,3.0,10.0,Fair,False,70,
3238745,A-3242926,,2,2020-11-11 03:59:33,2020-11-11 05:58:15,44.90663,-94.160223,Incident on MN-7 EB near C.S.A.H.1 Drive with caution.,19998.0, Garden Ave,Silver Lake,McLeod,MN,19.0,10.0,Fair,False,,
3238833,A-3243016,,2,2020-12-30 00:01:15,2020-12-30 02:37:36,44.926911,-93.274551,Incident on I-35W NB near 46TH ST Drive with caution.,,E 42nd St,Minneapolis,Hennepin,MN,23.0,4.0,Cloudy,False,30,2nd Ave S
3238859,A-3243042,,2,2020-12-24 17:43:33,2020-12-24 19:23:10,44.059179,-93.24369200000001,Incident on US-14 EB near US-218 Drive with caution.,,US Highway 14,Owatonna,Steele,MN,0.0,10.0,Fair,False,65,
3238887,A-3243072,,2,2020-12-24 01:42:12,2020-12-24 03:45:45,45.034917,-93.087405,Accident on MN-49/Rice St/Exit 45 (I-694) from I-35E/I-694/Exit 46 (I-694) to I-694 E.,,I-35E S,Saint Paul,Ramsey,MN,9.0,3.0,Light Snow,False,60,I-694 W
3238888,A-3243073,,2,2020-12-08 00:28:03,2020-12-08 02:28:25,45.03758300000001,-93.091868,Accident on MN-49/Rice St/Exit 45 (I-694) from I-35E/I-694/Exit 46 (I-694) to I-694 E.,,I-694 E,Saint Paul,Ramsey,MN,32.0,5.0,Cloudy,False,60,US-10 E
3238906,A-3243091,,2,2020-12-26 13:39:00,2020-12-26 22:01:42,45.303251,-93.552537,Slow traffic on US-169 S from Line Ave NW / 181st Ave NW to Highway 10 due to accident.,49.0, Main St NW,Elk River,Sherburne,MN,21.0,7.0,Cloudy,False,30,181st Ave NW
3238951,A-3243137,,2,2020-10-21 11:52:34,2020-10-21 13:07:41,43.905394,-92.481799,Incident on US-63 SB near 80TH ST Drive with caution.,7979.0, S Broadway,Stewartville,Olmsted,MN,35.0,10.0,Cloudy,False,65,80th St SE
3238958,A-3243144,,2,2020-11-15 03:05:30,2020-11-15 03:40:00,44.992470000000004,-93.237259,Slow traffic on I-35W S from MN-88/New Brighton Blvd/Exit 21A (I-35W) to 4th St/University Ave/Exit 18 (I-35W) due to accident.,,I-35W S,Minneapolis,Hennepin,MN,36.0,10.0,Fair,False,55,
3238983,A-3243169,,2,2020-12-23 23:30:28,2020-12-24 01:30:44,45.325958,-93.003476,Accident on US-8/Exit 132 (I-35) from US-61/CR-22/Exit 135 (I-35) to I-35 N.,,I-35 N,Wyoming,Chisago,MN,9.0,3.0,,False,70,
3238989,A-3243175,,2,2020-12-06 21:58:05,2020-12-06 23:55:08,44.873689,-93.080624,Incident on MN-3 SB near I-494 Drive with caution.,,S Robert Trl,Inver Grove Heights,Dakota,MN,35.0,7.0,Fair,False,45,Salem Church Rd
3239083,A-3243270,,2,2020-11-11 05:55:40,2020-11-11 07:52:47,45.664962,-94.764043,Incident on I-94 WB near 1ST AVE Drive with caution.,,I-94 W,Melrose,Stearns,MN,10.0,4.0,Fair,False,70,
3239089,A-3243276,,2,2020-12-02 23:56:23,2020-12-03 01:56:47,43.87527100000001,-92.488163,Accident on MN-30/1st St (US-63) from I-90 (US-63) to MN-30 - US-63 N.,2340.0, Highway 63 NE,Stewartville,Olmsted,MN,27.0,10.0,Cloudy,False,60,MN-30
3239124,A-3243311,,2,2020-12-29 16:33:03,2020-12-29 18:33:12,45.070112,-93.293699,Accident from Dupont Ave N to I-94 W.,,Dupont Ave N,Minneapolis,Hennepin,MN,21.0,0.5,Snow,False,30,64th Ave N
3239131,A-3243318,,2,2020-11-20 15:53:22,2020-11-20 18:32:25,46.418054999999995,-92.498379,Incident on MN-23 near MAIN ST Drive with caution.,94998.0, State Highway 23,Wrenshall,Pine,MN,28.0,10.0,Cloudy,False,60,Highway 23
3239139,A-3243326,,2,2020-10-12 07:59:00,2020-10-12 09:04:30,45.123714,-93.188384,Slow traffic on I-35W from Lake Dr/Exit 31B (I-35W) to CR-52/95th Ave/Exit 32 (I-35W) due to accident roadwork.,,I-35W N,Saint Paul,Ramsey,MN,52.0,10.0,Cloudy,False,65,
3239152,A-3243339,,2,2020-12-30 15:40:12,2020-12-30 16:56:14,43.683409999999995,-93.321315,Incident on I-35 SB near I-90 Drive with caution.,,I-35 S,Albert Lea,Freeborn,MN,21.0,10.0,Cloudy,False,70,
3239245,A-3243434,,2,2020-09-25 23:36:42,2020-09-26 00:53:53,45.27793,-93.558593,Incident on MN-101 SB near CR-42 Drive with caution.,,MN-101 S,Elk River,Wright,MN,62.0,10.0,Fair,False,65,State Highway 101
3239259,A-3243448,,2,2020-12-25 12:15:00,2020-12-26 00:26:00,45.06543,-93.230369,Slow traffic on I-694 W from CR-44/Silver Lake Rd/Exit 39 (I-694) to MN-47/University Ave/Exit 37 (I-694) due to accident.,,I-694 W,Minneapolis,Anoka,MN,10.0,10.0,Fair,False,60,
3239260,A-3243449,,2,2020-10-21 11:19:30,2020-10-21 16:27:00,45.065012,-93.227174,Slow traffic on I-694 from CR-44/Silver Lake Rd/Exit 39 (I-694) to MN-47/University Ave/Exit 37 (I-694) due to accident.,,I-694 W,Saint Paul,Ramsey,MN,36.0,10.0,Mostly Cloudy,False,60,
3239273,A-3243462,,2,2020-12-14 00:10:23,2020-12-14 01:25:24,45.457658,-92.99254,Incident on I-35 NB near COUNTY ROUTE 19 Drive with caution.,,I-35 N,North Branch,Chisago,MN,21.0,10.0,Cloudy,False,70,
3239277,A-3243466,,2,2020-12-30 09:25:43,2020-12-30 11:05:09,44.855128,-92.993742,Incident on US-61 NB near 70TH ST Drive with caution.,,US-10 W,Newport,Washington,MN,24.0,10.0,Cloudy,False,65,
3239294,A-3243483,,2,2020-11-03 00:22:30,2020-11-03 02:29:00,44.889734000000004,-93.354822,Slow traffic on MN-62 from Tracy Ave (MN-62) to Valley View Rd (MN-62) due to accident.,,MN-62 E,Minneapolis,Hennepin,MN,40.0,9.0,Fair,False,55,
3239295,A-3243484,,2,2020-12-13 23:04:23,2020-12-14 02:04:25,44.776475,-94.99570600000001,Incident on US-212 near 13TH ST Drive with caution.,1268.0, W Lincoln Ave,Olivia,Renville,MN,16.0,10.0,Cloudy,False,30,N 13th St
3239298,A-3243487,,2,2020-10-20 20:46:19,2020-10-20 22:22:30,45.026382,-93.089464,Incident on I-35E NB near LITTLE CANADA RD Drive with caution.,,I-35E N,Saint Paul,Ramsey,MN,33.0,4.0,Cloudy,False,60,US-10 W
3239331,A-3243520,,2,2020-10-20 18:52:30,2020-10-21 00:54:00,44.768896999999996,-93.91205500000001,Queuing traffic on US-212 from Faxon Rd (US-212) to MN-284/CR-53/Paul Ave (US-212) due to accident.,15363.0, Highway 212,Norwood Young America,Carver,MN,32.0,2.0,Wintry Mix,False,60,Tacoma Ave
3239364,A-3243553,,2,2020-12-13 05:31:01,2020-12-13 08:31:04,45.086092,-93.263463,Incident on MN-47 NB near MISSISSIPPI ST Drive with caution.,,Mississippi St NE,Minneapolis,Anoka,MN,27.0,10.0,Cloudy,True,35,University Ave NE
3239375,A-3243564,,2,2020-12-30 13:19:48,2020-12-30 15:58:55,45.047195,-93.4522,Incident on I-494 near 49TH AVE Drive with caution.,,I-494 N,Minneapolis,Hennepin,MN,24.0,10.0,Cloudy,False,60,
3239404,A-3243593,,2,2020-12-24 09:17:15,2020-12-24 11:19:19,44.782987,-93.459867,Accident on CR-83/Canterbury Rd (US-169) from CR-18 (US-169) to US-169 N.,,Shakopee Byp N,Shakopee,Scott,MN,-2.0,10.0,N/A Precipitation,False,65,
3239405,A-3243594,,2,2020-12-21 01:45:09,2020-12-21 03:27:27,44.783122,-93.431083,Incident on US-169 NB near MN-901B Drive with caution.,,Shakopee Byp N,Shakopee,Scott,MN,35.0,10.0,Fair,False,65,
3239417,A-3243606,,2,2020-11-19 18:59:00,2020-11-19 19:52:30,45.058359,-93.400974,Stationary traffic on US-169 S from 63rd Ave (US-169) to 49th Ave (US-169) due to accident.,,US-169 S,Minneapolis,Hennepin,MN,46.0,10.0,Fair,False,55,
3239430,A-3243619,,2,2020-12-27 02:51:36,2020-12-27 04:52:56,47.180202,-93.539833,Accident on CR-17/Wagon Wheel Court Rd (US-169) from 17th St (US-169) to US-169 S - US-169 N.,20944.0, US Highway 169,Grand Rapids,Itasca,MN,15.0,10.0,Fair,False,60,Harris town Rd
3239459,A-3243649,,2,2020-11-30 04:52:31,2020-11-30 07:57:40,44.483012,-93.291782,Incident on I-35 NB near MN-19 Drive with caution.,,I-35 N,Northfield,Rice,MN,21.0,10.0,Cloudy,False,70,
3239511,A-3243703,,2,2020-11-30 02:27:34,2020-11-30 03:42:35,44.478448,-93.292075,Incident on I-35 SB near DEUCE RD Drive with caution.,,I-35 S,Northfield,Rice,MN,22.0,10.0,Cloudy,False,70,
3239591,A-3243784,,2,2020-10-16 22:47:22,2020-10-17 00:44:31,44.471121999999994,-93.130706,Incident on MN-19 near CANADA AVE Drive with caution.,8700.0, 330th St W,Northfield,Dakota,MN,36.0,10.0,Cloudy,False,60,Canada Ave
3239625,A-3243818,,2,2020-11-15 22:30:43,2020-11-16 01:30:48,47.013252,-92.471376,Incident on US-53 SB near BIRCH RD Drive with caution.,6941.0, Highway 53,Canyon,St. Louis,MN,22.0,10.0,Cloudy,False,65,
3239647,A-3243842,,2,2020-12-24 19:44:11,2020-12-24 20:59:12,45.154699,-93.031615,Incident on I-35E SB near MAIN ST Drive with caution.,,I-35E S,Hugo,Anoka,MN,1.0,10.0,Fair,False,70,
3239669,A-3243864,,2,2020-12-23 22:58:53,2020-12-24 01:59:04,43.877259,-94.687782,Incident on MN-4 near 420TH ST Drive with caution.,2308.0, State Highway 4,Saint James,Watonwan,MN,,,,False,60,420th St
3239697,A-3243892,,2,2020-10-24 20:36:35,2020-10-24 23:36:43,44.207814,-95.121156,Incident on US-71 near 110TH ST Drive with caution.,,US-71 N,Sanborn,Redwood,MN,25.0,7.0,Light Snow,False,60,US-71 S
3239772,A-3243969,,2,2020-10-20 23:55:24,2020-10-21 01:10:33,45.961786,-92.959839,Incident on I-35 SB near MN-23 Drive with caution.,,I-35 S,Brook Park,Pine,MN,32.0,5.0,Wintry Mix,False,70,
3239778,A-3243975,,2,2020-12-30 01:31:38,2020-12-30 03:28:37,47.853675,-92.056883,Incident on MN-1 near BRADACH RD Drive with caution.,1898.0, Bradach Rd,Ely,St. Louis,MN,16.0,2.0,Light Snow,False,,
3239785,A-3243982,,2,2020-12-24 23:53:13,2020-12-25 01:29:15,45.470425,-92.99646800000001,Incident on I-35 SB near MN-95 Drive with caution.,,I-35 S,North Branch,Chisago,MN,-9.0,10.0,Fair,False,70,
3239801,A-3243998,,2,2020-09-12 03:22:00,2020-09-12 04:23:30,44.997314,-93.238617,Slow traffic on I-35W from MN-88/New Brighton Blvd/Exit 21A (I-35W) to Hennepin Ave/Exit 19 (I-35W) due to accident.,,I-35W S,Minneapolis,Hennepin,MN,56.0,8.0,T-Storm,False,55,
3239828,A-3244026,,2,2020-12-24 18:59:10,2020-12-24 20:14:11,44.876971999999995,-93.397039,Incident on US-169 SB near MN-62 Drive with caution.,,US-169 S,Minneapolis,Hennepin,MN,3.0,10.0,Fair,False,55,
3239829,A-3244027,,2,2020-12-03 03:51:14,2020-12-03 05:52:30,44.007591,-95.753431,Accident on MN-30/CR-12/156th St (US-59) from CR-95 (US-59) to US-59 S - US-59 N - MN-30.,1699.0, 111th St,Slayton,Murray,MN,24.0,10.0,Fair,False,,
3239849,A-3244047,,2,2020-12-30 15:37:50,2020-12-30 18:58:54,45.091012,-93.402274,Incident on US-169 NB near 77TH AVE Drive with caution.,,US-169 N,Minneapolis,Hennepin,MN,22.0,10.0,Mostly Cloudy,False,55,
3239859,A-3244057,,2,2020-11-06 08:08:05,2020-11-06 11:08:12,46.040192,-95.841454,Incident on I-94 WB near MN-78 Drive with caution.,,I-94 W,Ashby,Grant,MN,48.0,10.0,Fair,False,70,
3239870,A-3244068,,2,2020-10-19 01:53:30,2020-10-19 02:40:30,45.461264,-94.363878,Stationary traffic on MN-23 from CR-2/Red River Ave (MN-23) to CR-8/Ptarmigan Dr (MN-23) due to accident.,,Highway 23 E,Cold Spring,Stearns,MN,25.0,10.0,Cloudy,False,65,County Road 140
3239875,A-3244073,,2,2020-12-24 19:38:11,2020-12-24 22:17:12,45.04108,-93.06182700000001,Incident on I-35E SB near CO RD Drive with caution.,,I-35E S,Saint Paul,Ramsey,MN,1.0,10.0,Fair,False,60,I-694 W
3239921,A-3244121,,2,2020-12-30 14:25:50,2020-12-30 15:40:50,44.988015000000004,-93.459717,Incident on I-494 SB near CR-6 Drive with caution.,,I-494 S,Minneapolis,Hennepin,MN,23.0,10.0,Partly Cloudy,False,60,
3239929,A-3244129,,2,2020-10-13 14:51:35,2020-10-13 16:27:45,45.191047999999995,-93.545976,Incident on I-94 EB near MN-101 Drive with caution.,,I-94 E,Rogers,Hennepin,MN,61.0,10.0,Fair,False,70,US-52 E
3239930,A-3244130,,2,2020-12-22 08:54:30,2020-12-22 10:07:30,44.965937,-93.279325,Slow traffic on I-94 W - US-12 W - US-52 W - MN-55 W from I-35W/11th St/Exit 233 (I-94) to I-394/US-12/Exit 231 (I-94) due to accident.,,I-94 W,Minneapolis,Hennepin,MN,24.0,10.0,Cloudy,False,55,MN-55 W
3239931,A-3244131,,2,2020-10-10 22:23:16,2020-10-10 23:38:23,44.965013,-93.28273399999999,Incident on I-94 WB near LASALLE AVE Drive with caution.,,I-94 W,Minneapolis,Hennepin,MN,54.0,10.0,Fair,False,55,US-12 W
3239933,A-3244133,,2,2020-09-26 20:19:11,2020-09-27 00:01:23,45.690861,-94.86955,Incident on I-94 EB near MN-4 Drive with caution.,,I-94 E,Sauk Centre,Stearns,MN,58.0,10.0,Partly Cloudy,False,70,
3239958,A-3244158,,2,2020-12-24 02:44:03,2020-12-24 05:44:06,45.214537,-93.034751,Incident on I-35W SB near I-35 Drive with caution.,,I-35W S,Forest Lake,Anoka,MN,7.0,7.0,Mostly Cloudy,False,70,I-35E S
3239959,A-3244159,,2,2020-11-05 02:36:32,2020-11-05 03:52:59,45.214818,-93.03437,Incident on I-35W SB near CR-21 Drive with caution.,,I-35W S,Forest Lake,Anoka,MN,55.0,10.0,Fair,False,70,I-35E S
3239972,A-3244172,,2,2020-10-25 07:27:52,2020-10-25 09:24:58,43.8128,-95.275486,Incident on MN-60 WB near 400TH AVE Drive with caution.,91701.0, 400th Ave,Heron Lake,Jackson,MN,21.0,10.0,Light Snow,False,,
3240038,A-3244238,,2,2020-12-25 00:26:14,2020-12-25 01:41:15,45.158442,-93.280555,Incident on US-10 WB near FOLEY BLVD Drive with caution.,,MN-47 N,Minneapolis,Anoka,MN,-6.0,10.0,Fair,False,65,US-10 W
3240064,A-3244265,,2,2020-12-14 00:32:53,2020-12-14 03:54:48,44.94879,-92.842462,Incident on I-94 WB near CR-71 Drive with caution.,,I-94 W,Afton,Washington,MN,,,,False,70,MN-95 S
3240113,A-3244314,,2,2020-11-25 14:06:33,2020-11-25 16:07:43,43.670406,-94.38036600000001,Accident on MN-15/Exit 102 (I-90) from MN-262/CR-53/Exit 107 (I-90) to I-90 E.,,I-90 E,Fairmont,Martin,MN,35.0,5.0,Cloudy,False,70,
3240117,A-3244318,,2,2020-10-20 23:13:22,2020-10-21 01:16:59,44.710794,-93.032248,Incident on US-52 NB near 170TH ST Drive with caution.,,Coates Blvd,Rosemount,Dakota,MN,32.0,4.0,Cloudy,False,65,Clayton Ave E
3240119,A-3244320,,2,2020-10-22 14:23:08,2020-10-22 15:59:16,45.972708000000004,-94.32394599999999,Incident on MN-27 near 160TH AVE Drive with caution.,14362.0, 160th Ave,Little Falls,Morrison,MN,,,,False,50,Highway 27
3240156,A-3244357,,2,2020-10-23 13:54:01,2020-10-23 16:12:08,46.84967,-92.57691,Incident on US-2 near CR-862 Drive with caution.,,Highway 2,Brookston,St. Louis,MN,34.0,10.0,Cloudy,False,60,Bear Claw Pass
3240176,A-3244378,,2,2020-12-27 19:33:52,2020-12-27 20:54:33,45.267236,-93.009672,Incident on I-35 SB near BROADWAY Drive with caution.,,I-35 S,Forest Lake,Washington,MN,19.0,7.0,Light Snow,False,70,
3240191,A-3244393,,2,2020-12-26 22:31:34,2020-12-27 00:31:46,45.257782,-93.019513,Incident on I-35 NB near MN-97 Drive with caution.,,I-35 N,Forest Lake,Washington,MN,18.0,5.0,Fair,False,70,
3240226,A-3244429,,2,2020-11-11 02:34:39,2020-11-11 04:10:45,43.651352,-93.32201500000001,Incident on I-35 SB near EXIT 11 Expect delays.,,I-35 S,Albert Lea,Freeborn,MN,25.0,10.0,Fair,False,70,
3240242,A-3244449,,2,2020-10-17 16:11:44,2020-10-17 19:11:53,47.369002,-94.41763,Incident on US-2 near FOREST RT 2958 Drive with caution.,,US Highway 2 NW,Cass Lake,Cass,MN,33.0,10.0,Cloudy,False,60,US-2 E
